,R[t],IAT[t],IAT[t-1],IATC[t],IATC[t-1],BD[t],BD[t-1],BDC[t],BDC[t-1]
2016-02-24,-0.02822,0.872784558,0.846214345,1,1,1.014264004,1.089275605,0,0
2016-02-25,-0.099766,0.967290186,0.872784558,1,1,1.072130097,1.014264004,1,0
2016-02-26,-0.007284,0.590188335,0.967290186,0,1,1.034624296,1.072130097,0,1
2016-02-29,-0.080189,0.602543576,0.590188335,1,0,1.192148658,1.034624296,1,0
2016-03-01,0.051852,0.543989675,0.602543576,0,1,1.173931555,1.192148658,0,1
2016-03-02,0.049837,0.507688098,0.543989675,0,0,1.179825324,1.173931555,1,0
2016-03-03,-0.01032,0.623589837,0.507688098,1,0,1.121959232,1.179825324,0,1
2016-03-04,-0.064651,0.532251275,0.623589837,0,1,1.082310242,1.121959232,0,0
2016-03-07,0.023411,0.632713565,0.532251275,1,0,1.144998509,1.082310242,1,0
2016-03-08,0.047386,0.47740763,0.632713565,0,1,1.121423434,1.144998509,0,1
2016-03-09,-0.031201,0.574380623,0.47740763,1,0,0.973543421,1.121423434,0,0
2016-03-10,-0.025228,0.601006076,0.574380623,1,1,0.955326318,0.973543421,0,0
2016-03-11,0.003855,0.300613517,0.601006076,0,1,0.865312397,0.955326318,0,0
2016-03-14,0.053209,0.450082476,0.300613517,1,0,1.054984588,0.865312397,1,0
2016-03-15,-0.002083,0.588945445,0.450082476,1,1,0.942467186,1.054984588,0,1
2016-03-16,-0.01096,0.496437647,0.588945445,0,1,0.946753564,0.942467186,1,0
2016-03-17,0.082322,0.683635205,0.496437647,1,0,1.098919954,0.946753564,1,1
2016-03-18,0.022916,0.579959815,0.683635205,0,1,1.121959232,1.098919954,1,1
2016-03-21,0.020496,0.629132203,0.579959815,1,0,1.23501243,1.121959232,1,1
2016-03-22,-0.01588,0.673434305,0.629132203,1,1,1.158929235,1.23501243,0,1
2016-03-23,0.004746,0.892035534,0.673434305,1,1,1.177682135,1.158929235,1,0
2016-03-24,-0.011809,0.612947021,0.892035534,0,1,1.265017071,1.177682135,1,1
2016-03-25,0.013384,0.937313535,0.612947021,1,0,1.036767485,1.265017071,0,1
2016-03-28,0.020283,0.739491575,0.937313535,0,1,1.166430395,1.036767485,1,0
2016-03-29,-0.036061,0.696340296,0.739491575,0,0,1.191077064,1.166430395,1,1
2016-03-30,0.061391,0.663067687,0.696340296,0,0,1.233940836,1.191077064,1,1
2016-03-31,-0.002711,0.829218983,0.663067687,1,0,1.22376069,1.233940836,0,1
2016-04-01,-0.008609,0.775295996,0.829218983,0,1,1.032481108,1.22376069,0,0
2016-04-05,0.037477,0.615837889,0.775295996,0,0,1.271982434,1.032481108,1,0
2016-04-06,0.017621,0.625937516,0.615837889,1,0,1.306809248,1.271982434,1,1
2016-04-07,-0.005195,0.618240809,0.625937516,0,1,1.400573749,1.306809248,1,1
2016-04-08,0.013055,0.747657819,0.618240809,1,0,1.271446636,1.400573749,0,1
2016-04-11,0.050258,0.689711553,0.747657819,0,1,1.333063309,1.271446636,1,0
2016-04-12,-0.006135,0.744076456,0.689711553,1,0,1.36092476,1.333063309,1,1
2016-04-13,-0.006996,0.562375232,0.744076456,0,1,1.396823169,1.36092476,1,1
2016-04-14,-0.003315,0.483078888,0.562375232,0,0,1.320204177,1.396823169,0,1
2016-04-15,-0.00499,0.637344479,0.483078888,1,0,1.232869242,1.320204177,0,0
2016-04-18,-0.024237,0.587748589,0.637344479,0,1,1.222153299,1.232869242,1,0
2016-04-19,0.007709,0.658142162,0.587748589,1,0,1.098384157,1.222153299,0,1
2016-04-20,-0.063748,0.642702714,0.658142162,0,1,1.140712132,1.098384157,1,0
2016-04-21,0.017703,0.553214677,0.642702714,0,0,1.213580544,1.140712132,1,1
2016-04-22,0.015611,0.706780567,0.553214677,1,0,1.058735168,1.213580544,0,1
2016-04-25,0.054018,0.650178463,0.706780567,0,1,1.352352006,1.058735168,1,0
2016-04-26,0.010833,0.686222256,0.650178463,1,0,1.420934041,1.352352006,1,1
2016-04-27,-0.060594,0.594055102,0.686222256,0,1,1.496481439,1.420934041,1,1
2016-04-28,0.000439,0.634499643,0.594055102,1,0,1.243585185,1.496481439,0,1
2016-04-29,-0.014474,0.625891484,0.634499643,0,1,1.083917634,1.243585185,0,0
2016-05-03,0.034268,0.58677269,0.625891484,0,0,1.145534306,1.083917634,1,0
